#{"t_start": 1620074777.0286274, "env_id": null}
r,l,t
-3011.820557,30,17.035811
642.200684,30,17.101849
913.957031,30,17.165051
1397.095215,30,17.225094
-403.027344,30,17.286652
-341.164307,30,17.360248
1020.256836,30,17.419486
915.806152,30,17.485993
646.957764,30,17.548798
-250.0,30,17.615919
137.337524,30,17.678874
-899.484375,30,17.738302
786.885925,30,17.797246
1568.722412,30,17.857942
1207.644531,30,17.917454
328.023682,30,17.976862
31.986084,30,18.046157
-1846.348145,30,18.107703
-183.14502,30,18.167169
-79.189453,30,18.226708
1528.695068,30,18.286142
-916.518066,30,18.358432
-127.250244,30,18.418029
-695.749756,30,18.477363
150.913086,30,18.561203
845.295776,30,18.624759
670.094238,30,18.698924
1571.582397,30,18.784113
1397.630859,30,18.891644
-697.683105,30,18.992392
107.623291,30,19.113252
201.198242,30,19.237949
-1045.177246,30,19.328424
-590.285156,30,19.432396
-4213.759033,30,19.575483
-81.058105,30,19.687177
1207.316406,30,19.794653
983.162842,30,19.8932
-914.11145,30,19.987817
-1689.754028,30,20.102144
1409.342285,30,20.185544
190.692871,30,20.269701
1375.703125,30,20.354679
752.038574,30,20.444333
1618.815918,30,20.546793
2827.60376,30,20.638918
-894.691406,30,20.731838
41.766357,30,20.826424
300.507324,30,20.927576
1396.197266,30,21.05059
1228.0896,30,21.159567
1944.283691,30,22.265001
-172.765137,30,22.328836
289.688965,30,22.401565
1106.731201,30,22.486494
1182.794434,30,22.571665
-57.998047,30,22.655745
822.975342,30,22.731475
838.483887,30,22.815074
-174.548828,30,22.897351
1388.303589,30,22.984182
206.319336,30,23.067695
-116.625244,30,23.172863
114.851562,30,23.268727
1043.726807,30,23.358711
814.033936,30,23.451812
2398.709473,30,23.563192
-562.107666,30,23.67278
1640.026611,30,23.791237
27.223389,30,23.925071
1010.977539,30,24.020561
-764.745972,30,24.117423
1291.342773,30,24.208433
-2616.570557,30,24.315126
770.727051,30,24.418568
-524.939209,30,24.520921
837.993164,30,24.631589
368.105957,30,24.726871
429.587891,30,24.822537
907.624512,30,24.922844
215.549805,30,25.03773
727.744141,30,25.181775
1212.479492,30,25.329612
1554.712646,30,25.452969
2185.228027,30,25.584873
-903.778809,30,25.73697
765.673706,30,25.90358
838.22876,30,26.047883
-143.224609,30,26.181271
261.87207,30,26.318927
1344.343262,30,26.463992
-161.812866,30,26.631118
458.827454,30,26.796256
2285.736328,30,27.017211
849.466553,30,27.176849
-544.483643,30,27.33394
503.057617,30,27.476924
-1020.079346,30,27.605543
172.058594,30,27.769675
-73.062744,30,27.937602
259.345459,30,28.054887
407.703857,30,28.173663
1965.273926,30,28.333898
1264.940918,30,28.492982
886.833008,30,28.603799
1710.47168,30,28.730525
901.426758,30,28.86052
638.888672,30,28.993866
-823.002197,30,29.123338
-75.384766,30,29.247659
933.183105,30,29.372527
1501.001953,30,29.497712
894.628662,30,29.623102
98.380859,30,29.747574
861.286255,30,29.856878
-1633.877686,30,29.987461
-2314.406982,30,30.160852
177.414429,30,30.304009
90.95459,30,30.395806
445.40625,30,30.478007
1060.041992,30,31.227227
1371.319214,30,31.287856
1410.041138,30,31.349366
-566.756348,30,31.409963
1652.315674,30,31.471352
-1392.112061,30,31.531221
-321.00647,30,31.591849
-621.582764,30,31.652219
620.693848,30,31.712938
258.131836,30,31.774046
1047.592285,30,31.838683
-308.010132,30,31.899666
671.829346,30,31.959759
-86.20166,30,32.020464
29.252686,30,32.082898
765.473633,30,32.178507
464.9823,30,32.246835
738.338379,30,32.307761
-96.577637,30,32.370608
1074.587402,30,32.48546
930.931152,30,32.553644
-212.423828,30,32.613548
381.177734,30,32.674739
1020.899902,30,32.735734
-344.660645,30,32.79651
-710.594727,30,32.878695
654.640869,30,32.958256
420.505371,30,33.038596
-585.791748,30,33.122624
-70.092773,30,33.211007
300.258179,30,33.298888
-961.418213,30,33.411047
16.842285,30,33.506053
317.020264,30,33.590991
1696.437744,30,33.691203
252.419678,30,33.769388
-939.855469,30,33.842495
-115.089355,30,33.925163
574.049438,30,33.986386
11.422363,30,34.048549
1496.46582,30,34.109919
292.174805,30,34.17135
542.397461,30,34.234111
-234.905273,30,34.295826
623.456787,30,34.372038
207.074219,30,34.448234
-1167.619385,30,34.525256
97.558838,30,34.60133
2884.879883,30,34.678861
734.223633,30,34.756678
2627.499512,30,34.83331
-981.718994,30,34.898837
-3140.085693,30,34.959726
-1068.390015,30,35.021351
235.438416,30,35.099451
828.530762,30,35.167613
789.818848,30,35.261231
986.787598,30,35.34388
582.307495,30,35.422022
351.195801,30,35.497855
757.668091,30,35.589792
725.299072,30,35.66429
27.163208,30,35.743177
1733.273193,30,35.830473
